NAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,PPOPCHG_2015,PPOPCHG_2016,PPOPCHG_2017,PPOPCHG_2018
United States,309326085,311580009,313874218,316057727,318386421,320742673,323071342,325147121,327167434,567980,2253924,2294209,2183509,2328694,2356252,2328669,2075779,2020313,0.183956305,0.728656298,0.736314569,0.695663701,0.736793883,0.740060456,0.726024067,0.642514123,0.621353495
Northeast Region,55380645,55600532,55776729,55907823,56015864,56047587,56058789,56072676,56111079,62215,219887,176197,131094,108041,31723,11202,13887,38403,0.112467039,0.397046658,0.316898047,0.235033503,0.193248448,0.056632171,0.019986588,0.024772208,0.068487903
Midwest Region,66974749,67152631,67336937,67564135,67752238,67869139,67996917,68156035,68308744,45006,177882,184306,227198,188103,116901,127778,159118,152709,0.067243647,0.26559562,0.274458346,0.337404714,0.278406584,0.172541902,0.188271138,0.234007668,0.224057928
South Region,114867066,116039399,117271075,118393244,119657737,121037542,122401186,123598424,124753948,304021,1172333,1231676,1122169,1264493,1379805,1363644,1197238,1155524,0.265374406,1.02059976,1.061429144,0.956901777,1.068044896,1.153126438,1.12662896,0.978126143,0.934901888
West Region,72103625,72787447,73489477,74192525,74960582,75788405,76614450,77319986,77993663,156738,683822,702030,703048,768057,827823,826045,705536,673677,0.217852372,0.948387824,0.964493232,0.956664857,1.03522154,1.104344414,1.089935855,0.920891555,0.871284431
Alabama,4785448,4798834,4815564,4830460,4842481,4853160,4864745,4875120,4887871,5310,13386,16730,14896,12021,10679,11585,10375,12751,0.111084659,0.279723027,0.348626354,0.30933033,0.248858287,0.220527453,0.238710449,0.213269144,0.261552536
Alaska,713906,722038,730399,737045,736307,737547,741504,739786,737438,3657,8132,8361,6646,-738,1240,3957,-1718,-2348,0.514889849,1.139085538,1.157972295,0.909913623,-0.100129571,0.168408015,0.536508182,-0.231691265,-0.317389083
Arizona,6407774,6473497,6556629,6634999,6733840,6833596,6945452,7048876,7171646,15486,65723,83132,78370,98841,99756,111856,103424,122770,0.242260674,1.025675999,1.284189983,1.195278854,1.489691257,1.48141328,1.636854154,1.489089551,1.741696123
Arkansas,2921978,2940407,2952109,2959549,2967726,2978407,2990410,3002997,3013825,5950,18429,11702,7440,8177,10681,12003,12587,10828,0.20404468,0.630702901,0.397972118,0.252023215,0.276292097,0.359905193,0.403000664,0.420912183,0.360573121
California,37320903,37641823,37960782,38280824,38625139,38953142,39209127,39399349,39557045,66380,320920,318959,320042,344315,328003,255985,190222,157696,0.178179707,0.859893449,0.847352691,0.843085899,0.899445111,0.84919565,0.657161366,0.485147247,0.400250268
